penal,x,y,arquero
penal_eurocopa_2021_francia_suiza_01.png,0.3,0.8,R
penal_eurocopa_2021_francia_suiza_02.png,0.2,0.9,R
penal_eurocopa_2021_francia_suiza_03.png,0.85,0.65,L
penal_eurocopa_2021_francia_suiza_04.png,0.78,0.4,L
penal_eurocopa_2021_francia_suiza_08.png,0.85,0.7,R
penal_eurocopa_2021_francia_suiza_10.png,0.2,0.5,L
penal_eurocopa_2021_suiza_españa_01.png,0,0,R
penal_eurocopa_2021_suiza_españa_03.png,0.1,0.75,L
penal_eurocopa_2021_italia_españa_01.png,0.2,0,L
penal_eurocopa_2021_italia_españa_02.png,0.15,1.25,L
penal_eurocopa_2021_italia_españa_03.png,0.75,0,R
penal_eurocopa_2021_italia_españa_04.png,0.85,0,L
penal_eurocopa_2021_italia_inglaterra_01.png,0.2,0.1,R
penal_eurocopa_2021_italia_inglaterra_02.png,0.1,0.3,L
penal_eurocopa_2021_italia_inglaterra_03.png,0.75,0.15,R
penal_eurocopa_2021_italia_inglaterra_04.png,0.8,0.9,L
penal_eurocopa_2021_italia_inglaterra_05.png,0.25,0.8,L
penal_eurocopa_2021_italia_inglaterra_06.png,0,0,R
penal_eurocopa_2021_italia_inglaterra_07.png,0.5,0.1,L
penal_eurocopa_2021_italia_inglaterra_08.png,0.76,0.25,R
penal_eurocopa_2021_italia_inglaterra_09.png,0.25,0,L
penal_eurocopa_2021_italia_inglaterra_10.png,0.7,0.15,R
penal_nations_2024-25_portugal_españa_01.png,0.3,0.45,L
penal_nations_2024-25_portugal_españa_02.png,0.25,0.25,L
penal_nations_2024-25_portugal_españa_03.png,0.1,0.5,L
penal_nations_2024-25_portugal_españa_04.png,0.75,0.1,L
penal_nations_2024-25_portugal_españa_05.png,0.08,0.1,R
penal_nations_2024-25_portugal_españa_06.png,0.1,0.6,L
penal_nations_2024-25_portugal_españa_07.png,0.9,0.8,R
penal_nations_2024-25_portugal_españa_08.png,0.75,0.1,L
penal_nations_2024-25_portugal_españa_09.png,0.05,0,R
penal_copa-america_2024_argentina_ecuador_01.png,0.45,1,R
penal_copa-america_2024_argentina_ecuador_02.png,0.7,0.48,R
penal_copa-america_2024_argentina_ecuador_03.png,0.8,0.75,R
penal_copa-america_2024_argentina_ecuador_04.png,0.25,0.5,L
penal_copa-america_2024_argentina_ecuador_05.png,0.9,0.25,L
penal_copa-america_2024_argentina_ecuador_06.png,0.9,0.9,L
penal_copa-america_2024_argentina_ecuador_07.png,0.75,0.2,L
penal_copa-america_2024_argentina_ecuador_08.png,0.3,0.45,L
penal_copa-america_2024_argentina_ecuador_09.png,0.05,0,L
penal_copa-america_2024_venezuela_canada_01.png,0.8,0.15,L
penal_copa-america_2024_venezuela_canada_02.png,0.8,0.45,R
penal_copa-america_2024_venezuela_canada_03.png,-0.05,0.05,R
penal_copa-america_2024_venezuela_canada_04.png,0.8,1.3,L
penal_copa-america_2024_venezuela_canada_05.png,0.3,0.5,L
penal_copa-america_2024_venezuela_canada_06.png,0.8,0,L
penal_copa-america_2024_venezuela_canada_07.png,0.13,0.4,L
penal_copa-america_2024_venezuela_canada_08.png,0.67,0.25,R
penal_copa-america_2024_venezuela_canada_09.png,0.78,0.1,L
penal_copa-america_2024_venezuela_canada_10.png,0.76,0.75,L
penal_copa-america_2024_venezuela_canada_11.png,0.8,0.2,R
penal_copa-america_2024_venezuela_canada_12.png,0.25,0,R
penal_copa-america_2024_uruguay_brasil_01.png,0.05,0.1,L
penal_copa-america_2024_uruguay_brasil_02.png,0.75,0.5,R
penal_copa-america_2024_uruguay_brasil_03.png,0.85,0.25,CR
penal_copa-america_2024_uruguay_brasil_04.png,0.1,0,R
penal_copa-america_2024_uruguay_brasil_05.png,0.25,0.95,L
penal_copa-america_2024_uruguay_brasil_06.png,0,0.25,L
penal_copa-america_2024_uruguay_brasil_07.png,0.72,0.45,R
penal_copa-america_2024_uruguay_brasil_08.png,0.75,0.5,R
penal_copa-america_2024_uruguay_brasil_09.png,0.76,0.65,L
penal_copa-america_2024_canada_uruguay_01.png,0.15,0.2,R
penal_copa-america_2024_canada_uruguay_02.png,0.7,0.1,L
penal_copa-america_2024_canada_uruguay_03.png,0.76,0,L
penal_copa-america_2024_canada_uruguay_04.png,0.1,0.95,R
penal_copa-america_2024_canada_uruguay_05.png,0.1,0,L
penal_copa-america_2024_canada_uruguay_06.png,0.55,0.6,L
penal_copa-america_2024_canada_uruguay_07.png,0.15,0.45,L
penal_copa-america_2024_canada_uruguay_08.png,0.9,0.5,R
penal_copa-america_2024_canada_uruguay_09.png,0.5,1,L
penal_copa-america_2024_ecuador_jamaica_p01.png,0.85,0,CR
penal_copa-america_2024_venezuela_mexico_p01.png,0.1,0,R
penal_copa-america_2024_argentina_ecuador_p01.png,0,0,R
penal_copa-america_2024_panama_colombia_p01.png,0.8,0.1,L
penal_copa-america_2024_panama_colombia_p02.png,0.75,0.8,L
penal_copa-america_2024_colombia_costa-rica_p01.png,0.9,0.85,L
penal_copa-america_2024_paraguay_brasil_p01.png,1.15,0.9,R
penal_copa-america_2024_paraguay_brasil_p02.png,0.78,0.3,L
penal_copa-de-oro_2023_usa_canada_p01.png,0.4,0.5,L
penal_copa-de-oro_2023_usa_canada_01.png,0.45,0.45,CL
penal_copa-de-oro_2023_usa_canada_02.png,0.9,1.45,L
penal_copa-de-oro_2023_usa_canada_03.png,0.78,0.25,R
penal_copa-de-oro_2023_usa_canada_04.png,0.4,0.55,L
penal_copa-de-oro_2023_usa_canada_05.png,0.85,0.75,R
penal_copa-de-oro_2023_usa_canada_06.png,0.9,0.9,R
penal_copa-de-oro_2023_usa_canada_07.png,0.8,0.05,L
penal_copa-de-oro_2023_usa_canada_08.png,0.8,0.2,R
penal_copa-de-oro_2023_usa_canada_09.png,0.7,1,L
penal_copa-de-oro_2023_usa_panama_01.png,0.2,0.25,L
penal_copa-de-oro_2023_usa_panama_02.png,0.42,0.55,L
penal_copa-de-oro_2023_usa_panama_03.png,0.2,0.15,R
penal_copa-de-oro_2023_usa_panama_04.png,0.2,0.4,R
penal_copa-de-oro_2023_usa_panama_05.png,0.85,0.85,R
penal_copa-de-oro_2023_usa_panama_06.png,0.72,0.05,R
penal_copa-de-oro_2023_usa_panama_07.png,0.7,0.5,L
penal_copa-de-oro_2023_usa_panama_08.png,0.75,0,L
penal_copa-de-oro_2023_usa_panama_09.png,0.85,0.65,L
penal_copa-de-oro_2023_usa_panama_10.png,0.15,0,R
penal_copa-de-oro_2023_usa_panama_11.png,0.25,0,L
penal_copa-de-oro_2023_usa_panama_12.png,0.1,0.75,CL
penal_copa-de-oro_2023_el-salvador_martinique_p02.png,0.5,0.25,R
penal_copa-de-oro_2023_haiti_qatar_p01.png,0.62,0,L
penal_copa-de-oro_2023_usa_trinidad-y-tobago_p01.png,0.35,0.15,R
penal_copa-de-oro_2023_canada_cuba_p01.png,0.2,0,R
penal_copa-de-oro_2023_canada_cuba_p02.png,0.25,0.45,R
penal_copa-de-oro_2023_canada_cuba_p03.png,0.37,0.5,L
penal_copa-de-oro_2023_costa-rica_martinica_p01.png,0.18,0,R
penal_copa-de-oro_2023_costa-rica_martinica_p02.png,0.9,0.1,L
penal_copa-de-oro_2025_usa_costa-rica_01.png,0.52,0,L
penal_copa-de-oro_2025_usa_costa-rica_02.png,0.77,0.02,CR
penal_copa-de-oro_2025_usa_costa-rica_03.png,0.75,0.2,R
penal_copa-de-oro_2025_usa_costa-rica_04.png,0.1,0.4,L
penal_copa-de-oro_2025_usa_costa-rica_05.png,0.8,0,R
penal_copa-de-oro_2025_usa_costa-rica_06.png,0.13,1.2,L
penal_copa-de-oro_2025_usa_costa-rica_07.png,0.15,0.45,L
penal_copa-de-oro_2025_usa_costa-rica_08.png,0.9,0.5,R
penal_copa-de-oro_2025_usa_costa-rica_09.png,0.45,0.56,CR
penal_copa-de-oro_2025_usa_costa-rica_10.png,0.77,0.5,R
penal_copa-de-oro_2025_usa_costa-rica_11.png,0.24,0.4,L
penal_copa-de-oro_2025_usa_costa-rica_12.png,0.12,0.25,R
penal_copa-de-oro_2025_costa-rica_surinam_p01.png,0.9,0,L
penal_copa-de-oro_2025_costa-rica_surinam_p02.png,0.25,0.1,CL
penal_copa-de-oro_2025_canada-guatemala_p01.png,0.9,0.1,R
penal_copa-de-oro_2025_canada-guatemala_01.png,0.85,0.45,L
penal_copa-de-oro_2025_canada-guatemala_02.png,0.2,0.2,L
penal_copa-de-oro_2025_canada-guatemala_03.png,0.3,0.3,L
penal_copa-de-oro_2025_canada-guatemala_04.png,0.77,0,R
penal_copa-de-oro_2025_canada-guatemala_05.png,0.2,0.05,R
penal_copa-de-oro_2025_canada-guatemala_06.png,0.87,0.52,L
penal_copa-de-oro_2025_canada-guatemala_07.png,0.51,0.45,R
penal_copa-de-oro_2025_canada-guatemala_08.png,0.52,0.72,L
penal_copa-de-oro_2025_canada-guatemala_09.png,0.3,0.03,L
penal_copa-de-oro_2025_canada-guatemala_10.png,0.87,1.15,R
penal_copa-de-oro_2025_canada-guatemala_11.png,0.25,0.5,L
penal_copa-de-oro_2025_canada-guatemala_12.png,0.05,0.83,R
penal_copa-de-oro_2025_canada-guatemala_13.png,0.68,1,R
penal_copa-de-oro_2025_canada-guatemala_14.png,0.51,0.6,R
penal_serie-rio-de-la-plata_2025_belgrano_progreso_00.png,0.85,0,L
penal_serie-rio-de-la-plata_2025_belgrano_progreso_01.png,0.3,0.1,R
penal_serie-rio-de-la-plata_2025_belgrano_progreso_02.png,0.1,0.15,R
penal_serie-rio-de-la-plata_2025_belgrano_progreso_03.png,0.88,0.1,L
penal_serie-rio-de-la-plata_2025_belgrano_progreso_04.png,0.1,0.1,R
penal_serie-rio-de-la-plata_2025_belgrano_progreso_05.png,0.28,0,L
penal_serie-rio-de-la-plata_2025_belgrano_progreso_06.png,0.25,0.25,R
penal_serie-rio-de-la-plata_2025_belgrano_progreso_07.png,0.9,0.1,R
penal_serie-rio-de-la-plata_2025_belgrano_progreso_08.png,0.82,0.05,CL
penal_serie-rio-de-la-plata_2025_san-lorenzo_idv_01.png,0.5,0.3,L
penal_serie-rio-de-la-plata_2025_san-lorenzo_idv_02.png,0.2,0.8,R
penal_serie-rio-de-la-plata_2025_san-lorenzo_idv_03.png,1,0.5,R
penal_serie-rio-de-la-plata_2025_san-lorenzo_idv_04.png,0.2,1.45,L
penal_serie-rio-de-la-plata_2025_san-lorenzo_idv_05.png,0.23,0.05,R
penal_serie-rio-de-la-plata_2025_san-lorenzo_idv_06.png,0.77,0.15,R
penal_serie-rio-de-la-plata_2025_san-lorenzo_idv_07.png,0.65,1.5,R
penal_serie-rio-de-la-plata_2025_san-lorenzo_idv_08.png,0.15,0.8,R
penal_serie-rio-de-la-plata_2025_san-lorenzo_idv_09.png,0.1,0,R
penal_serie-rio-de-la-plata_2025_san-lorenzo_idv_10.png,0.22,0.3,L
penal_serie-rio-de-la-plata_2025_san-lorenzo_idv_12.png,0.12,0.15,R
penal_serie-rio-de-la-plata_2025_san-lorenzo_idv_13.png,0.75,0.22,L
